treat,age,educ,black,hispan,married,nodegree,re74,re75,re78,weights
1,22,9,0,1,0,1,0,0,3595.894,1
1,30,12,1,0,0,0,0,0,24909.45,1
1,33,8,1,0,0,1,0,0,289.7899,1
1,33,12,0,0,1,0,0,0,12418.07,1
1,19,9,1,0,0,1,0,0,8173.908,1
1,21,13,1,0,0,0,0,0,17094.64,1
1,18,8,1,0,0,1,0,0,0,1
1,27,10,1,0,1,1,0,0,18739.93,1
1,17,7,1,0,0,1,0,0,3023.879,1
1,27,13,1,0,0,0,0,0,14581.86,1
1,26,12,1,0,0,0,0,0,10747.35,1
1,41,14,0,0,0,0,0,0,5149.501,1
1,38,9,0,0,0,1,0,0,6408.95,1
1,29,11,1,0,1,1,0,0,9642.999,1
1,27,10,0,1,0,1,0,0,11142.87,1
1,25,11,1,0,1,1,0,0,1574.424,1
1,25,12,1,0,0,0,0,0,3191.753,1
1,42,14,1,0,0,0,0,0,20505.93,1
1,25,5,1,0,0,1,0,0,6181.88,1
1,23,12,1,0,1,0,0,0,5911.551,1
1,46,8,1,0,1,1,0,0,3094.156,1
1,21,12,1,0,0,0,0,0,1254.582,1
1,19,9,0,0,0,1,0,0,13188.83,1
1,18,8,0,1,1,1,0,0,2787.96,1
1,25,11,1,0,1,1,0,0,0,1
1,17,9,1,0,0,1,0,0,0,1
1,25,5,1,0,0,1,0,0,12187.41,1
1,30,11,1,0,1,1,0,0,590.7818,1
1,41,4,1,0,1,1,0,0,7284.986,1
1,42,14,1,0,1,0,0,0,13167.52,1
1,22,11,0,0,0,1,0,0,1048.432,1
1,29,8,1,0,0,1,0,0,1923.938,1
1,35,10,1,0,0,1,0,0,4666.236,1
1,29,4,1,0,0,1,0,0,762.9146,1
1,23,7,0,0,0,1,0,0,0,1
1,45,5,1,0,1,1,0,0,8546.715,1
1,29,13,1,0,0,0,0,0,7479.656,1
1,46,13,1,0,0,0,0,0,647.2046,1
1,28,15,1,0,0,0,0,0,9598.541,1
1,25,11,0,0,0,1,0,0,18783.35,1
1,40,11,1,0,0,1,0,0,23005.6,1
1,38,12,0,0,0,0,0,0,4941.849,1
1,27,13,1,0,0,0,0,0,0,1
1,27,8,1,0,0,1,0,0,0,1
1,23,8,0,1,0,1,0,0,3881.284,1
1,21,12,0,0,0,0,0,0,8048.603,1
1,31,11,1,0,1,1,0,0,14509.93,1
1,44,11,1,0,0,1,0,0,0,1
1,25,12,0,0,0,0,0,0,5587.503,1
1,42,12,1,0,0,0,0,0,2456.153,1
1,31,9,0,1,0,1,0,0,26817.6,1
1,43,9,1,0,0,1,0,0,0,1
1,27,13,1,0,0,0,0,0,34099.28,1
1,17,9,1,0,0,1,0,0,1953.268,1
1,26,10,1,0,1,1,2027.999,0,0,1
1,20,9,1,0,0,1,6083.994,0,8881.665,1
1,17,9,0,1,0,1,445.1704,74.34345,6210.67,1
1,20,12,1,0,0,0,989.2678,165.2077,0,1
1,18,11,1,0,0,1,858.2543,214.5636,929.8839,1
1,27,12,1,0,1,0,3670.872,334.0493,0,1
1,21,12,0,0,0,0,3670.872,334.0494,12558.02,1
1,27,12,1,0,0,0,2143.413,357.9499,22163.25,1
1,20,12,1,0,0,0,0,377.5686,1652.637,1
1,23,12,1,0,0,0,5506.308,501.0741,671.3318,1
1,19,9,1,0,0,1,0,798.9079,17685.18,1
1,27,13,0,0,1,0,9381.566,853.7225,0,1
1,18,11,0,0,0,1,3678.231,919.5579,4321.705,1
1,27,9,1,0,1,1,0,934.4454,1773.423,1
1,22,12,1,0,0,0,5605.852,936.1773,0,1
1,23,10,1,0,1,1,0,936.4386,11233.26,1
1,23,12,0,1,0,0,9385.74,1117.439,559.4432,1
1,20,11,1,0,0,1,3637.498,1220.836,1085.44,1
1,17,9,1,0,0,1,1716.509,1253.439,5445.2,1
1,28,11,1,0,0,1,0,1284.079,60307.93,1
1,20,11,1,0,0,1,16318.62,1484.994,6943.342,1
1,31,9,1,0,0,1,0,1698.607,10363.27,1
1,23,8,0,0,1,1,0,1713.15,4232.309,1
1,18,10,1,0,0,1,2143.411,1784.274,11141.39,1
1,29,12,1,0,0,0,10881.94,1817.284,0,1
1,26,11,0,0,0,1,0,2226.266,13385.86,1
1,24,9,1,0,0,1,9154.7,2288.675,4849.559,1
1,25,12,1,0,0,0,14426.79,2409.274,0,1
1,24,10,1,0,0,1,4250.402,2421.947,1660.508,1
1,31,12,0,0,0,0,0,2611.218,2484.549,1
1,19,8,1,0,0,1,0,2657.057,9970.681,1
1,26,11,1,0,1,1,0,2754.646,26372.28,1
1,20,10,1,0,0,1,5005.731,2777.355,5615.189,1
1,24,12,1,0,0,0,13765.75,2842.764,6167.681,1
