income,sex,university,hsgrade,grant,dropout
16833.09,female,pisa,81,yes,no
16905.84,female,pisa,70,yes,no
11836.94,female,pisa,60,yes,no
11935,male,pisa,70,yes,no
10043.2,female,pisa,70,yes,no
10738.14,female,pisa,94,yes,no
19329.49,female,pisa,100,yes,no
13812.38,male,pisa,74,yes,no
14062.11,male,pisa,99,yes,no
19485.96,female,pisa,83,yes,no
12451.95,female,pisa,72,yes,no
13568.72,male,pisa,88,yes,no
10052.94,female,pisa,80,yes,no
18875.8,female,pisa,69,yes,no
12368.02,male,pisa,80,yes,no
13392.35,male,pisa,91,yes,no
18905.02,male,pisa,60,yes,no
10626.11,female,pisa,100,yes,no
13473.67,male,pisa,88,yes,no
14431.3,male,pisa,98,yes,no
12980.25,female,pisa,97,yes,no
16670.93,male,pisa,87,yes,no
13839.28,female,pisa,75,yes,no
11475.14,female,pisa,100,yes,no
14668.39,female,pisa,100,yes,no
10892.46,female,pisa,100,yes,no
13043.63,female,pisa,81,yes,no
12235.45,female,pisa,70,yes,no
12222.23,female,pisa,100,yes,no
13081.71,female,pisa,100,yes,no
18313.46,male,pisa,81,yes,no
18975.33,female,pisa,78,yes,yes
14862.2,female,pisa,82,yes,no
10728.46,female,pisa,100,yes,no
15550.81,female,pisa,72,yes,no
14571.19,male,pisa,80,yes,no
10745.81,female,pisa,80,yes,no
12757.32,female,pisa,100,yes,no
10045.88,female,pisa,68,yes,no
19969.5,female,pisa,85,yes,no
12013.98,female,pisa,89,yes,no
13805.73,female,pisa,69,yes,no
10419.72,female,pisa,76,yes,no
12165.91,female,pisa,100,yes,no
18281.08,female,pisa,93,yes,no
10187.34,female,pisa,100,yes,no
14250.81,female,pisa,82,yes,no
16493.41,male,pisa,97,yes,no
18974.93,female,pisa,95,yes,yes
13400.92,female,pisa,95,yes,no
14402.21,female,pisa,100,yes,no
14296.98,female,pisa,100,yes,no
17158.07,female,pisa,92,yes,no
15046.6,female,pisa,65,yes,no
16572.23,female,pisa,81,yes,no
13676.5,female,pisa,95,yes,no
18462.92,female,pisa,90,yes,no
14054.15,female,pisa,88,yes,yes
11133.01,female,pisa,60,yes,no
11394.31,female,pisa,70,yes,yes
11317.56,male,pisa,64,yes,no
15657.97,female,pisa,65,yes,no
12367.25,female,pisa,73,yes,no
10980.56,male,pisa,85,yes,no
10656.02,female,pisa,88,yes,no
14830.35,female,pisa,90,yes,no
18075.09,female,pisa,100,yes,no
12599.02,male,pisa,65,yes,no
11795.7,female,pisa,88,yes,no
11142.68,female,pisa,79,yes,no
14234.96,female,pisa,92,yes,no
11781.26,female,pisa,78,yes,no
12236.01,female,pisa,81,yes,no
15945.07,female,pisa,74,yes,no
11959.8,female,pisa,83,yes,no
19484.16,female,pisa,90,yes,no
12267.99,female,pisa,72,yes,no
15723.76,female,pisa,90,yes,yes
17596.18,female,pisa,90,yes,no
19192.9,female,pisa,60,yes,no
14985.88,female,pisa,89,yes,no
12088.28,female,pisa,100,yes,no
14922.85,female,pisa,73,yes,no
11233.44,female,pisa,100,yes,no
13695.83,female,pisa,80,yes,no
10490.65,female,pisa,70,yes,no
12419.92,female,pisa,94,yes,no
10875.32,male,pisa,100,yes,no
13830.88,male,pisa,62,yes,yes
14908.37,female,pisa,100,yes,no
19658.36,male,pisa,63,yes,no
10486.99,female,pisa,92,yes,no
13060.98,female,pisa,100,yes,no
11045.8,female,pisa,87,yes,no
11392.11,female,pisa,60,yes,yes
10991.06,male,pisa,95,yes,no
17164.74,female,pisa,100,yes,no
16768.7,female,pisa,96,yes,no
16263.93,female,pisa,100,yes,no
19584.21,female,pisa,92,yes,yes
10137.77,female,pisa,100,yes,no
12342.83,female,pisa,100,yes,no
13141.52,female,pisa,63,yes,no
10322.36,female,pisa,100,yes,no
15588.81,female,pisa,60,yes,no
13067.71,female,pisa,98,yes,no
13585.78,female,pisa,77,yes,no
10433.81,female,pisa,100,yes,no
15731.3,male,pisa,75,yes,no
14045.35,female,pisa,100,yes,no
14708.54,male,pisa,82,yes,no
11478.41,female,pisa,92,yes,no
12629.26,female,pisa,71,yes,yes
